signal_family,signal_name,signal_label,mean_algorithm_disagreement,max_algorithm_disagreement,mean_algorithm_spread,mean_composite_stress,most_disagreeing_shift,disagreement_rank,disagreement_level
harmonic,square,harmonic / square,0.03683224621479493,0.06991611981158316,0.4728682359604658,0.3743461223109251,-12,1,High
modulated,vibrato_tone,modulated / vibrato_tone,0.028586780287147895,0.03870040784098228,0.3845965904683314,0.23647727285073675,-12,2,High
harmonic,sine,harmonic / sine,0.023935636594051984,0.03398703182274326,0.34185189071005206,0.21531944654875554,-12,3,High
modulated,fm_tone,modulated / fm_tone,0.023283837757501556,0.034317058834723455,0.3552507794328867,0.20937179915895127,-12,4,High
harmonic,saw,harmonic / saw,0.018188696603148723,0.02062891137701588,0.31524137395921925,0.2927936724933957,3,5,Medium
noise,white_noise,noise / white_noise,0.017967213253220697,0.03914714885933227,0.33164190678668837,0.29721115246463736,-12,6,Medium
inharmonic,bell_resonator,inharmonic / bell_resonator,0.01271427238064693,0.01953536290324652,0.28675164357405425,0.220825829925028,-12,7,Medium
noise,pink_noise,noise / pink_noise,0.011443603402278133,0.020730662956252283,0.2800801745197428,0.24566414305597176,-12,8,Low
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,0.007269406858940081,0.012031140465529883,0.19773816011652623,0.20044847432619484,12,9,Low
transient,impulse_train,transient / impulse_train,0.0061687821299783365,0.015400534596563044,0.17697291382674016,0.1447108768909315,12,10,Low
transient,click_sequence,transient / click_sequence,0.0055845332892385455,0.0065375521828988275,0.20117757005605758,0.11223455595650096,3,11,Low
