signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.5795772719572991,0.7499225880332745,502.2338983159349
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.4824536802198902,0.8956925980537976,310.89751098580183
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.4835360442843951,0.8637156866805997,666.5285608896255
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.4786545091954336,0.7209688146921078,1226.613388107646
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.8871163912181584,0.4734428227057045,110.39297935538906
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.656937951760593,0.3355213268479526,48.50482749480613
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.6558912929173847,0.4135466005078451,120.95591754866206
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.6462370717358121,0.41977981369512296,228.6409506290908
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,-12,1.253861479939483,1.1203287089033085,1707.4653124308663
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,3,1.037411313657616,0.9725105060616916,168.87059376193994
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,7,1.0360443343529675,1.0028411654225309,241.1546959940324
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,12,1.0353915279528232,0.9917365664719014,506.87453151443196
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.10193964014468132,0.2753245090912441,2263.885533767095
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.09311557228130384,0.2609770172660812,205.78764260767593
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.09280600315707227,0.2665856980156342,108.29201650511658
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.0931700838681044,0.2615753872501699,235.5784578310202
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.10099672758884098,0.3127077600308007,817.5956548974077
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.09690930388653933,0.27363528820744143,246.86806528949631
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.09704271036893113,0.2806621848958386,869.279968039105
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.09724620025961983,0.31532286971175266,1751.0577928747502
modulated,fm_tone,modulated / fm_tone,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.7517675417950697,0.4595166060719012,90.49720077361376
modulated,fm_tone,modulated / fm_tone,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.7686922749837479,0.3189800487689746,39.51036123574788
modulated,fm_tone,modulated / fm_tone,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.7718918378104944,0.4650604427501373,98.11996863137037
modulated,fm_tone,modulated / fm_tone,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.845715068843548,0.5306306279288109,185.06778809920584
modulated,vibrato_tone,modulated / vibrato_tone,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.8464311644180282,0.4719868107882539,110.83853217015526
modulated,vibrato_tone,modulated / vibrato_tone,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.6843675392623606,0.3459836338393653,45.832118851770325
modulated,vibrato_tone,modulated / vibrato_tone,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.6799555808841794,0.44920585799996565,114.74046344584411
modulated,vibrato_tone,modulated / vibrato_tone,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.7010099637968117,0.4926229082000781,226.322608182214
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.24050667345517507,0.7683704634676063,1701.1076163375415
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.21360344687931498,0.60705408507311,270.74120225322935
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.27601820257178206,0.6121499480039768,127.09634048969282
noise,pink_noise,noise / pink_noise,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.2666556201857299,0.6074447549026454,292.8737116405034
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.2382796828515766,1.1367982523121154,2471.2711482261243
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.2389966156403345,0.8116528431572739,263.1478947289417
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.24095091691245993,0.8177423191058084,73.52350497450597
noise,white_noise,noise / white_noise,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.250365419852364,0.7825103604947405,82.27883485513804
