candidate_id,candidate_family,candidate_name,candidate_label,parameter_summary
detuned_oscillators_01,detuned_oscillators,detuned_oscillators_01,detuned_oscillators / detuned_oscillators_01,"{""base_hz"": 191.889, ""count"": 4, ""detune_cents"": 30.192}"
detuned_oscillators_02,detuned_oscillators,detuned_oscillators_02,detuned_oscillators / detuned_oscillators_02,"{""base_hz"": 178.522, ""count"": 3, ""detune_cents"": 27.625}"
detuned_oscillators_03,detuned_oscillators,detuned_oscillators_03,detuned_oscillators / detuned_oscillators_03,"{""base_hz"": 216.74, ""count"": 2, ""detune_cents"": 12.463}"
beating_oscillators_01,beating_oscillators,beating_oscillators_01,beating_oscillators / beating_oscillators_01,"{""base_hz"": 270.064, ""beat_hz"": 4.637}"
beating_oscillators_02,beating_oscillators,beating_oscillators_02,beating_oscillators / beating_oscillators_02,"{""base_hz"": 230.022, ""beat_hz"": 2.235}"
beating_oscillators_03,beating_oscillators,beating_oscillators_03,beating_oscillators / beating_oscillators_03,"{""base_hz"": 424.596, ""beat_hz"": 6.936}"
chirps_01,chirps,chirps_01,chirps / chirps_01,"{""curve"": 1.556, ""end_hz"": 641.412, ""start_hz"": 3699.443}"
chirps_02,chirps,chirps_02,chirps / chirps_02,"{""curve"": 0.811, ""end_hz"": 2009.964, ""start_hz"": 343.851}"
chirps_03,chirps,chirps_03,chirps / chirps_03,"{""curve"": 2.132, ""end_hz"": 679.698, ""start_hz"": 2266.891}"
glissandi_01,glissandi,glissandi_01,glissandi / glissandi_01,"{""end_hz"": 166.014, ""ratio"": 2.074, ""start_hz"": 344.374}"
glissandi_02,glissandi,glissandi_02,glissandi / glissandi_02,"{""end_hz"": 38.982, ""ratio"": 4.987, ""start_hz"": 194.415}"
glissandi_03,glissandi,glissandi_03,glissandi / glissandi_03,"{""end_hz"": 137.297, ""ratio"": 2.686, ""start_hz"": 368.741}"
chaotic_oscillators_01,chaotic_oscillators,chaotic_oscillators_01,chaotic_oscillators / chaotic_oscillators_01,"{""base_hz"": 329.462, ""depth_hz"": 616.03, ""r"": 3.88107}"
chaotic_oscillators_02,chaotic_oscillators,chaotic_oscillators_02,chaotic_oscillators / chaotic_oscillators_02,"{""base_hz"": 255.059, ""depth_hz"": 64.277, ""r"": 3.96811}"
chaotic_oscillators_03,chaotic_oscillators,chaotic_oscillators_03,chaotic_oscillators / chaotic_oscillators_03,"{""base_hz"": 342.066, ""depth_hz"": 226.175, ""r"": 3.82304}"
quasi_periodic_signals_01,quasi_periodic_signals,quasi_periodic_signals_01,quasi_periodic_signals / quasi_periodic_signals_01,"{""base_hz"": 193.357, ""ratio_set"": ""sqrt2_phi_pi""}"
quasi_periodic_signals_02,quasi_periodic_signals,quasi_periodic_signals_02,quasi_periodic_signals / quasi_periodic_signals_02,"{""base_hz"": 342.586, ""ratio_set"": ""sqrt2_phi_pi""}"
quasi_periodic_signals_03,quasi_periodic_signals,quasi_periodic_signals_03,quasi_periodic_signals / quasi_periodic_signals_03,"{""base_hz"": 357.101, ""ratio_set"": ""sqrt2_phi_pi""}"
modal_banks_01,modal_banks,modal_banks_01,modal_banks / modal_banks_01,"{""max_hz"": 5608.594, ""min_hz"": 567.316, ""mode_count"": 9}"
modal_banks_02,modal_banks,modal_banks_02,modal_banks / modal_banks_02,"{""max_hz"": 5913.0, ""min_hz"": 182.674, ""mode_count"": 11}"
modal_banks_03,modal_banks,modal_banks_03,modal_banks / modal_banks_03,"{""max_hz"": 5975.898, ""min_hz"": 982.019, ""mode_count"": 16}"
noise_mixtures_01,noise_mixtures,noise_mixtures_01,noise_mixtures / noise_mixtures_01,"{""pink"": 0.52, ""tone"": 0.056, ""white"": 0.434}"
noise_mixtures_02,noise_mixtures,noise_mixtures_02,noise_mixtures / noise_mixtures_02,"{""pink"": 0.186, ""tone"": 0.407, ""white"": 0.784}"
noise_mixtures_03,noise_mixtures,noise_mixtures_03,noise_mixtures / noise_mixtures_03,"{""pink"": 0.626, ""tone"": 0.483, ""white"": 0.795}"
