candidate_id,candidate_family,candidate_name,candidate_label,parameter_summary,mean_algorithm_disagreement,max_algorithm_disagreement,mean_algorithm_spread,mean_composite_stress,best_shift_semitones,discovery_rank,disagreement_level
detuned_oscillators_03,detuned_oscillators,detuned_oscillators_03,detuned_oscillators / detuned_oscillators_03,"{""base_hz"": 216.74, ""count"": 2, ""detune_cents"": 12.463}",0.04805406339989778,0.07995747713794404,0.4808360390048915,0.2593604452548971,-12,1,High
detuned_oscillators_02,detuned_oscillators,detuned_oscillators_02,detuned_oscillators / detuned_oscillators_02,"{""base_hz"": 178.522, ""count"": 3, ""detune_cents"": 27.625}",0.04896834665630126,0.07930457155367468,0.500370273276634,0.2595123969769155,-12,2,High
glissandi_01,glissandi,glissandi_01,glissandi / glissandi_01,"{""end_hz"": 166.014, ""ratio"": 2.074, ""start_hz"": 344.374}",0.028552842264206048,0.0426418496655528,0.3857941844054617,0.2460773552615655,-12,3,High
glissandi_02,glissandi,glissandi_02,glissandi / glissandi_02,"{""end_hz"": 38.982, ""ratio"": 4.987, ""start_hz"": 194.415}",0.021891234862357924,0.038295461519609324,0.3642854702308362,0.1932119543753204,3,4,High
beating_oscillators_01,beating_oscillators,beating_oscillators_01,beating_oscillators / beating_oscillators_01,"{""base_hz"": 270.064, ""beat_hz"": 4.637}",0.02697337981319476,0.037370364125949476,0.377031050859296,0.21732566730985717,-12,5,High
chaotic_oscillators_01,chaotic_oscillators,chaotic_oscillators_01,chaotic_oscillators / chaotic_oscillators_01,"{""base_hz"": 329.462, ""depth_hz"": 616.03, ""r"": 3.88107}",0.01651007243976593,0.036330501492665146,0.2987575101845159,0.3394623218015494,-12,6,High
noise_mixtures_02,noise_mixtures,noise_mixtures_02,noise_mixtures / noise_mixtures_02,"{""pink"": 0.186, ""tone"": 0.407, ""white"": 0.784}",0.0162646886823128,0.035616334653853894,0.30457399903481,0.28610564289074997,-12,7,High
detuned_oscillators_01,detuned_oscillators,detuned_oscillators_01,detuned_oscillators / detuned_oscillators_01,"{""base_hz"": 191.889, ""count"": 4, ""detune_cents"": 30.192}",0.02414862361840614,0.0353982921130092,0.3440183415469901,0.19550350548683373,3,8,High
glissandi_03,glissandi,glissandi_03,glissandi / glissandi_03,"{""end_hz"": 137.297, ""ratio"": 2.686, ""start_hz"": 368.741}",0.026848978080855852,0.03476751639610414,0.38066837612273996,0.23927293450032033,3,9,Medium
quasi_periodic_signals_03,quasi_periodic_signals,quasi_periodic_signals_03,quasi_periodic_signals / quasi_periodic_signals_03,"{""base_hz"": 357.101, ""ratio_set"": ""sqrt2_phi_pi""}",0.02555560921223669,0.0347206346721446,0.3601755824480456,0.23057637749792534,-12,10,Medium
chaotic_oscillators_03,chaotic_oscillators,chaotic_oscillators_03,chaotic_oscillators / chaotic_oscillators_03,"{""base_hz"": 342.066, ""depth_hz"": 226.175, ""r"": 3.82304}",0.022143403847745817,0.029593477155660575,0.3651638019479999,0.35129081980578963,7,11,Medium
modal_banks_01,modal_banks,modal_banks_01,modal_banks / modal_banks_01,"{""max_hz"": 5608.594, ""min_hz"": 567.316, ""mode_count"": 9}",0.023084483037504804,0.02865947807296536,0.36295164440096045,0.2911898601155294,3,12,Medium
beating_oscillators_03,beating_oscillators,beating_oscillators_03,beating_oscillators / beating_oscillators_03,"{""base_hz"": 424.596, ""beat_hz"": 6.936}",0.024490342193539398,0.028531501034708813,0.3518708133081236,0.21729360270726175,3,13,Medium
noise_mixtures_01,noise_mixtures,noise_mixtures_01,noise_mixtures / noise_mixtures_01,"{""pink"": 0.52, ""tone"": 0.056, ""white"": 0.434}",0.013279667325331514,0.02814449835328828,0.28489901791670513,0.26524161788649164,-12,14,Medium
beating_oscillators_02,beating_oscillators,beating_oscillators_02,beating_oscillators / beating_oscillators_02,"{""base_hz"": 230.022, ""beat_hz"": 2.235}",0.02249590664112375,0.027912305388976884,0.3438018678202307,0.1863232961023634,-12,15,Medium
quasi_periodic_signals_01,quasi_periodic_signals,quasi_periodic_signals_01,quasi_periodic_signals / quasi_periodic_signals_01,"{""base_hz"": 193.357, ""ratio_set"": ""sqrt2_phi_pi""}",0.023241768707019717,0.026745865797279868,0.3302964337192754,0.2157931402505101,7,16,Medium
noise_mixtures_03,noise_mixtures,noise_mixtures_03,noise_mixtures / noise_mixtures_03,"{""pink"": 0.626, ""tone"": 0.483, ""white"": 0.795}",0.011003368634465183,0.02515215744935912,0.2518194316830432,0.24646927703574364,-12,17,Low
chaotic_oscillators_02,chaotic_oscillators,chaotic_oscillators_02,chaotic_oscillators / chaotic_oscillators_02,"{""base_hz"": 255.059, ""depth_hz"": 64.277, ""r"": 3.96811}",0.013063915572680412,0.02286412735936003,0.2846786423404536,0.2941480218184694,-12,18,Low
quasi_periodic_signals_02,quasi_periodic_signals,quasi_periodic_signals_02,quasi_periodic_signals / quasi_periodic_signals_02,"{""base_hz"": 342.586, ""ratio_set"": ""sqrt2_phi_pi""}",0.013927476277572688,0.0220480636848763,0.2543166695623073,0.18906831940054314,7,19,Low
modal_banks_02,modal_banks,modal_banks_02,modal_banks / modal_banks_02,"{""max_hz"": 5913.0, ""min_hz"": 182.674, ""mode_count"": 11}",0.012623532899808918,0.016387984918192294,0.2531711144103682,0.22820060762904099,12,20,Low
modal_banks_03,modal_banks,modal_banks_03,modal_banks / modal_banks_03,"{""max_hz"": 5975.898, ""min_hz"": 982.019, ""mode_count"": 16}",0.008751988993455095,0.014065926598954923,0.2242603282651776,0.27179602604629094,12,21,Low
chirps_01,chirps,chirps_01,chirps / chirps_01,"{""curve"": 1.556, ""end_hz"": 641.412, ""start_hz"": 3699.443}",0.003753590296802379,0.009566212238215672,0.1419856035685675,0.2074573971500209,-12,22,Low
chirps_03,chirps,chirps_03,chirps / chirps_03,"{""curve"": 2.132, ""end_hz"": 679.698, ""start_hz"": 2266.891}",0.005528826065692278,0.007351635937981644,0.17810594493187804,0.21046274061448283,12,23,Low
chirps_02,chirps,chirps_02,chirps / chirps_02,"{""curve"": 0.811, ""end_hz"": 2009.964, ""start_hz"": 343.851}",0.0036907933468321246,0.004390572750780161,0.13941151259642734,0.18048602254252818,7,24,Low
