case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",-12,0.07867097945791092,0.36518224586075787,0.06089724491123322,0.7175225679633631,0.65662532305213
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",3,0.03673300555860108,0.3085090287531746,0.01528318817082045,0.5261198113408775,0.5108366231700571
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",7,0.05560991659071927,0.310803529346918,0.06643943212913354,0.597386835912947,0.5309474037838134
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",12,0.03783294960367814,0.3021066352279722,0.07971753175918098,0.5160723669207424,0.4363548351615615
beating_rate_1_0hz,beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",-12,0.07756546484555663,0.3651307548056389,0.060445355490523524,0.7135742640935407,0.6531289086030172
beating_rate_1_0hz,beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",3,0.0343404752106575,0.3010759024170047,0.014877474300953106,0.5092977937085584,0.49442031940760534
beating_rate_1_0hz,beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",7,0.04997700629715841,0.2994003257381496,0.06698890031587863,0.5682896536164698,0.5013007533005911
beating_rate_1_0hz,beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",12,0.0397856580709045,0.30738444129636966,0.07942080005092998,0.5230085448961591,0.4435877448452291
beating_rate_2_0hz,beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",-12,0.07285520450435728,0.35668726314926935,0.0614561108484409,0.6980953646757014,0.6366392538272605
beating_rate_2_0hz,beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",3,0.045580051797258964,0.34262153761988196,0.015014960878884554,0.5884941230078137,0.5734791621289291
beating_rate_2_0hz,beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",7,0.04020514925224658,0.2778145443831707,0.06719328354405231,0.5025006871614492,0.43530740361739695
beating_rate_2_0hz,beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",12,0.039099203278209115,0.29679191012095163,0.06646747712716826,0.5360061377370432,0.4695386606098749
beating_rate_5_0hz,beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",-12,0.07737439694785285,0.369696419341739,0.06445911868785344,0.710477868034178,0.6460187493463245
beating_rate_5_0hz,beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",3,0.05233769239291252,0.3545058023780357,0.01903335727008951,0.627796273337654,0.6087629160675645
beating_rate_5_0hz,beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",7,0.03668342351069713,0.27040325175935515,0.07269127185581432,0.4965794035825925,0.4238881317267782
