case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.691456193881433,0.45440514150695416,213.0599826278802,0.0005740780496474245,0.08838902384717207,0.12814682432217972,0.07236997540633307
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,0.6070273740920982,0.3864835737737797,435.86247637193037,0.00043290021140097513,0.05348616818644655,0.36393064759767996,0.13928323866517583
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,273.1628749539191,1.9744754930014023,307.040491365424,0.4561877651823957,0.8695075675295171,0.2276029986725908,0.5177661104615011
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,458.03971024105795,2.0869385538892162,307.4081331641368,0.765329975304587,0.9272989600478843,0.22799206069537037,0.6402069986826139
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",phase_vocoder,Phase Vocoder,local phase vocoder,3,0.6282780592823262,0.41577393812268104,93.16434626532138,0.00046843459176893577,0.06853760756334482,0.0012656074176308908,0.023423883190914877
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",psola,PSOLA,local pitch-synchronous overlap-add,3,0.5450406139710957,0.48659128903277715,829.3144353059512,0.00032924891299813036,0.10492851931025939,0.7803066297232208,0.2951881326488261
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,135.72668134153324,1.977963314676602,288.5409032015411,0.2263735292445848,0.8712998544357627,0.20802555340703938,0.435232979029129
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",wsola,WSOLA,local waveform-similarity overlap-add,3,268.187413883878,2.1268109231093364,288.06053791308113,0.4478680369201691,0.9477881742133767,0.2075172001907956,0.5343911371081138
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",phase_vocoder,Phase Vocoder,local phase vocoder,7,0.6276327774009155,0.44361758647112753,232.8499226690953,0.0004673555822399092,0.0828456229965511,0.14908980232435123,0.07746759363438076
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",psola,PSOLA,local pitch-synchronous overlap-add,7,0.5043662960198074,0.37216823731248944,317.1038452469729,0.000261235262033451,0.046129946312917926,0.23825268222546764,0.094881287933473
