case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,frame_index,time_seconds,observed_output_f0_hz,inferred_input_f0_hz,pitch_confidence
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,0,0.0,438.10788087060865,438.10788087060865,0.9480555486851605
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,1,0.023219954648526078,438.69326479914434,438.69326479914434,0.9612559879815398
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,2,0.046439909297052155,439.7231974801089,439.7231974801089,0.9854859617244421
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,3,0.06965986394557823,440.2238022248103,440.2238022248103,0.997742805172888
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,4,0.09287981859410431,440.27287384595775,440.27287384595775,0.9989577443256275
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,5,0.11609977324263039,440.27288342620653,440.27288342620653,0.9989573217469871
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,6,0.13931972789115646,440.27289414658026,440.27289414658026,0.998956836483988
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,7,0.16253968253968254,440.27290653036226,440.27290653036226,0.9989562788896387
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,8,0.18575963718820862,440.2729209960573,440.2729209960573,0.998955634844166
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,9,0.2089795918367347,440.27293745677923,440.27293745677923,0.9989548854085708
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",input,Input,source signal,0,10,0.23219954648526078,440.2729572024471,440.2729572024471,0.9989540107899286
