delta_hz,algorithm,algorithm_label,dominant_inferred_pitch_hz,lower_reference_hz,upper_reference_hz,upper_frame_fraction,iqr_inferred_f0_hz,mean_confidence,valid_frame_fraction,branch
0.0,psola,PSOLA,881.5699963628247,440.0,880.0,1.0,6.854467710581957e-05,0.9974842616715823,1.0,upper_branch
0.1,psola,PSOLA,881.5930156476278,440.05,880.1,1.0,6.394138858922815e-05,0.997490963819547,1.0,upper_branch
0.2,psola,PSOLA,881.6160335523533,440.1,880.2,1.0,5.7351311284037365e-05,0.9975020144402462,1.0,upper_branch
0.3,psola,PSOLA,881.639054735352,440.15,880.3,1.0,5.219158697400417e-05,0.9975212756852284,1.0,upper_branch
0.4,psola,PSOLA,881.6620902297973,440.2,880.4,1.0,6.18258203530786e-05,0.9975677416002945,1.0,upper_branch
0.5,psola,PSOLA,881.6851596052737,440.25,880.5,1.0,0.00019880095032931422,0.9980612645231336,1.0,upper_branch
0.6,psola,PSOLA,881.7082509794392,440.3,880.6,1.0,0.0007736862282854418,0.9971388704213158,1.0,upper_branch
0.7,psola,PSOLA,881.7313357087202,440.35,880.7,1.0,0.0007946974917558691,0.9972034659506145,1.0,upper_branch
0.8,psola,PSOLA,881.7543095344215,440.4,880.8,1.0,0.0007767882975713292,0.997230846568454,1.0,upper_branch
0.9,psola,PSOLA,881.7772971374402,440.45,880.9,1.0,0.0007422853234402282,0.9972516209210847,1.0,upper_branch
1.0,psola,PSOLA,881.8002870178866,440.5,881.0,1.0,0.0007354426877554943,0.9972714183758143,1.0,upper_branch
1.1,psola,PSOLA,881.8232833207834,440.55,881.1,1.0,0.0007263006989433052,0.9972944751027377,1.0,upper_branch
1.2,psola,PSOLA,881.8462920983517,440.6,881.2,1.0,0.0007064038925364002,0.9973248582453099,1.0,upper_branch
1.3,psola,PSOLA,881.8693252617185,440.65,881.3,1.0,0.0007061453675305529,0.9973717957214374,1.0,upper_branch
1.4,psola,PSOLA,881.8923810944686,440.7,881.4,1.0,0.0009488537850756984,0.9974749888128719,1.0,upper_branch
1.5,psola,PSOLA,881.9154720905683,440.75,881.5,1.0,0.001690420984573393,0.9978433933968548,1.0,upper_branch
1.6,psola,PSOLA,881.9386160324498,440.8,881.6,1.0,0.003120601747582441,0.9966319769124916,1.0,upper_branch
1.7,psola,PSOLA,881.9617995009052,440.85,881.7,1.0,0.002984770850048335,0.9968769562836168,1.0,upper_branch
1.8,psola,PSOLA,881.9847854669604,440.9,881.8,1.0,0.002914660502483457,0.9969544315303586,1.0,upper_branch
