case_id,case_label,delta_hz,algorithm,algorithm_label,implementation,shift_semitones,frame_index,time_seconds,observed_output_f0_hz,inferred_input_f0_hz,pitch_confidence
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,0,0.0,440.78518697558115,881.5703739511623,0.965373906309277
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,1,0.023219954648526078,440.7850970139268,881.5701940278536,0.9746875687677659
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,2,0.046439909297052155,440.7849806076174,881.5699612152348,0.9907431734589196
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,3,0.06965986394557823,440.78499309227243,881.5699861845449,0.9982594050700522
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,4,0.09287981859410431,440.78503118058774,881.5700623611755,0.9989708386918544
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,5,0.11609977324263039,440.7850252539701,881.5700505079402,0.9989708390692489
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,6,0.13931972789115646,440.7850201071745,881.570040214349,0.9989708368075003
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,7,0.16253968253968254,440.7850149602418,881.5700299204836,0.998970837709772
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,8,0.18575963718820862,440.785010449556,881.570020899112,0.9989708408371499
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,9,0.2089795918367347,440.7850061788121,881.5700123576243,0.9989708400849551
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,10,0.23219954648526078,440.7850021514628,881.5700043029256,0.9989708373192236
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,11,0.25541950113378686,440.7849987683503,881.5699975367006,0.9989708374875073
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,12,0.2786394557823129,440.78499532596277,881.5699906519255,0.9989708401036728
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,13,0.301859410430839,440.7849926788608,881.5699853577216,0.9989708399285755
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,14,0.3250793650793651,440.78498990951226,881.5699798190245,0.9989708372562602
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,15,0.34829931972789113,440.7849878759565,881.569975751913,0.9989708367634101
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,16,0.37151927437641724,440.784985861696,881.569971723392,0.9989708389923393
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,17,0.3947392290249433,440.784984308558,881.569968617116,0.9989708397166527
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,18,0.4179591836734694,440.78498313476575,881.5699662695315,0.9989708372245292
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,19,0.44117913832199546,440.78498203680283,881.5699640736057,0.9989708361274008
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,20,0.46439909297052157,440.7849816179201,881.5699632358402,0.9989708383352777
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,21,0.4876190476190476,440.7849810784843,881.5699621569686,0.9989708400691149
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,22,0.5108390022675737,440.7849812803534,881.5699625607068,0.9989708375537297
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,23,0.5340589569160997,440.7849813713458,881.5699627426916,0.9989708360077397
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,24,0.5572789115646258,440.7849821144033,881.5699642288066,0.9989708380375267
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,25,0.5804988662131519,440.7849830108168,881.5699660216336,0.9989708403933607
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,26,0.603718820861678,440.7849841614335,881.569968322867,0.9989708382212636
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,27,0.626938775510204,440.7849858404497,881.5699716808994,0.9989708364373249
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,28,0.6501587301587302,440.78498750751237,881.5699750150247,0.9989708379571738
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,29,0.6733786848072563,440.78498993415735,881.5699798683147,0.9989708403899313
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,30,0.6965986394557823,440.78499220147864,881.5699844029573,0.9989708390965698
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,31,0.7198185941043084,440.7849952872927,881.5699905745854,0.9989708370523221
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,32,0.7430385487528345,440.7849983199415,881.569996639883,0.9989708379574097
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,33,0.7662585034013606,440.7850019233514,881.5700038467028,0.9989708404208428
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,34,0.7894784580498866,440.78500584113846,881.5700116822769,0.9989708399886973
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,35,0.8126984126984127,440.78500998150867,881.5700199630173,0.9989708373199755
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,36,0.8359183673469388,440.78501476190337,881.5700295238067,0.9989708375260246
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,37,0.8591383219954648,440.78501951272114,881.5700390254423,0.9989708400973096
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,38,0.8823582766439909,440.7850251080096,881.5700502160192,0.9989708400890875
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,39,0.905578231292517,440.78503055418275,881.5700611083655,0.9989708367128894
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,40,0.9287981859410431,440.7850368305653,881.5700736611306,0.9989708325849787
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,41,0.9520181405895691,440.78504330870163,881.5700866174033,0.998970791491293
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,42,0.9752380952380952,440.7850493817981,881.5700987635962,0.9989706932191029
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,43,0.9984580498866213,440.7850522729012,881.5701045458025,0.9989706272077243
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,44,1.0216780045351475,440.7850499176252,881.5700998352504,0.9989706763501479
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,45,1.0448979591836736,440.7850443334275,881.570088666855,0.9989707798898316
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,46,1.0681179138321995,440.7850374824908,881.5700749649816,0.9989708334510323
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,47,1.0913378684807256,440.78503158403976,881.5700631680795,0.9989708374549522
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,48,1.1145578231292517,440.78502564292825,881.5700512858565,0.9989708363505782
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,49,1.1377777777777778,440.7850203868433,881.5700407736866,0.9989708384999391
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,50,1.1609977324263039,440.78501533382496,881.5700306676499,0.9989708405637928
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,51,1.18421768707483,440.7850106486747,881.5700212973494,0.9989708388878019
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,52,1.207437641723356,440.7850064919673,881.5700129839346,0.9989708369938272
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,53,1.230657596371882,440.78500235367653,881.5700047073531,0.9989708383853216
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,54,1.253877551020408,440.7849990442305,881.569998088461,0.9989708410809016
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,55,1.2770975056689342,440.7849955375827,881.5699910751654,0.9989708393463796
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,56,1.3003174603174603,440.7849928405888,881.5699856811776,0.9989708368564487
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,57,1.3235374149659864,440.78499011629884,881.5699802325977,0.9989708376368733
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,58,1.3467573696145125,440.7849879770069,881.5699759540138,0.9989708403929398
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,59,1.3699773242630386,440.7849860536732,881.5699721073464,0.998970839176311
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,60,1.3931972789115645,440.7849843521778,881.5699687043556,0.998970836519579
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,61,1.4164172335600906,440.7849832552587,881.5699665105174,0.9989708368175308
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,62,1.4396371882086167,440.7849820502412,881.5699641004824,0.9989708392456831
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,63,1.4628571428571429,440.7849816397347,881.5699632794694,0.9989708390665972
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,64,1.486077097505669,440.78498108090474,881.5699621618095,0.9989708365339282
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,65,1.509297052154195,440.78498122595215,881.5699624519043,0.9989708363510006
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,66,1.5325170068027212,440.7849813873564,881.5699627747128,0.9989708387937475
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,67,1.555736961451247,440.7849820021529,881.5699640043058,0.9989708396982763
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,68,1.5789569160997732,440.7849829695655,881.569965939131,0.99897083712743
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,69,1.6021768707482993,440.7849840199982,881.5699680399964,0.9989708363916167
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,70,1.6253968253968254,440.7849857720695,881.569971544139,0.9989708389829187
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,71,1.6486167800453515,440.78498740092755,881.5699748018551,0.9989708406888193
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,72,1.6718367346938776,440.78498977424334,881.5699795484867,0.9989708380573219
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,73,1.6950566893424037,440.78499207491603,881.5699841498321,0.9989708367949038
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,74,1.7182766439909296,440.78499504398104,881.5699900879621,0.9989708390445737
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,75,1.7414965986394557,440.78499818141233,881.5699963628247,0.9989708410061034
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,76,1.7647165532879818,440.7850016263884,881.5700032527768,0.9989708388044389
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,77,1.787936507936508,440.7850056332882,881.5700112665764,0.9989708370749562
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,78,1.811156462585034,440.78500964661265,881.5700192932253,0.9989708385526919
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,79,1.8343764172335602,440.7850144518199,881.5700289036398,0.9989708405137117
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,80,1.8575963718820863,440.78501915620325,881.5700383124065,0.9989708389602683
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,81,1.8808163265306121,440.78502469073425,881.5700493814685,0.9989708365762453
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,82,1.9040362811791383,440.78503021055667,881.5700604211133,0.998970837208102
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,83,1.9272562358276644,440.78500090330357,881.5700018066071,0.9985554227670798
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,84,1.9504761904761905,440.7849746331205,881.569949266241,0.9923727908560892
basin_two_oscillators_0_0hz,440 + 440,0.0,psola,PSOLA,local pitch-synchronous overlap-add,-12,85,1.9736961451247166,440.78507740672006,881.5701548134401,0.9768835367921538
