delta_hz,mean_inferred_state_hz,variance_inferred_state,state_std_hz,min_inferred_state_hz,max_inferred_state_hz,branch_set,branch_count
0.0,553.4810972755736,35889.12214779111,189.44424548608256,439.40026355973674,881.5699963628247,lower_branch|upper_branch,2
0.1,553.504509556201,35888.94308000523,189.44377287207206,439.4501803068433,881.5930156476278,lower_branch|upper_branch,2
0.2,553.5431401485141,35885.506668739625,189.4347029156475,439.50015741554,881.6160335523533,lower_branch|upper_branch,2
0.3,553.5851695069982,35881.342995885076,189.42371286585288,439.5503455349772,881.639054735352,lower_branch|upper_branch,2
0.4,553.5868125696404,35885.824843847535,189.43554271531923,439.60128717020723,881.6620902297973,lower_branch|upper_branch,2
0.5,553.5879598310136,35890.36830598321,189.44753444155248,439.6681276563207,881.6851596052737,lower_branch|upper_branch,2
0.6,553.6270687869371,35886.85394301973,189.43825892099971,439.71577951707224,881.7082509794392,lower_branch|upper_branch,2
0.7,553.6880354361688,35878.61094411507,189.4165012455754,439.7770882796986,881.7313357087202,lower_branch|upper_branch,2
0.8,553.7389594825364,35872.356842659974,189.39999166488886,439.878893092397,881.7543095344215,lower_branch|upper_branch,2
0.9,553.7345707626015,35878.15391038913,189.41529481641425,439.92169256932357,881.7772971374402,lower_branch|upper_branch,2
1.0,553.7452071219021,35880.908533721784,189.42256606255177,439.9126337425966,881.8002870178866,lower_branch|upper_branch,2
1.1,553.7580459837018,35882.994376679395,189.42807177575185,439.96315306169555,881.8232833207834,lower_branch|upper_branch,2
1.2,553.8230456088947,35873.62894539875,189.4033498790313,440.096491693688,881.8462920983517,lower_branch|upper_branch,2
1.3,553.8877355799964,35864.80511690372,189.3800546966436,440.0892900713749,881.8693252617185,lower_branch|upper_branch,2
1.4,553.9131857237776,35864.2355387358,189.37855089406455,440.1292145920723,881.8923810944686,lower_branch|upper_branch,2
1.5,553.9030897503742,35871.187280467544,189.39690409419987,440.20035227174407,881.9154720905683,lower_branch|upper_branch,2
1.6,553.900277249004,35876.75333769037,189.41159768528,440.2225848326624,881.9386160324498,lower_branch|upper_branch,2
1.7,553.9234556851154,35876.30439821079,189.4104125918393,440.38671650515727,881.9617995009052,lower_branch|upper_branch,2
1.8,553.9959222140446,35865.60850182454,189.38217577645617,440.4362026318529,881.9847854669604,lower_branch|upper_branch,2
1.9,554.0446262846472,35859.92280126144,189.3671639996265,440.51162099861864,882.0077493686478,lower_branch|upper_branch,2
2.0,554.0495876949396,35863.96211733831,189.3778290015447,440.4813402869706,882.0307603377066,lower_branch|upper_branch,2
2.1,554.0514830104818,35868.386164679585,189.38950911990764,440.5344496194727,882.0537282497055,lower_branch|upper_branch,2
2.2,554.1012379226763,35862.70657019226,189.37451404608873,440.53708771994127,882.0766909972335,lower_branch|upper_branch,2
2.3,554.118976405239,35863.73520454822,189.37722989987,440.59188475620937,882.0997049339215,lower_branch|upper_branch,2
2.4,554.1630761884229,35859.14581564334,189.36511245644837,440.6499222904888,882.1229152860302,lower_branch|upper_branch,2
2.5,554.1814036972293,35860.066042850034,189.36754221051197,440.70301532846673,882.1459697996071,lower_branch|upper_branch,2
2.6,554.2288907416279,35854.822179062445,189.35369597412785,440.7411297644924,882.1692239468462,lower_branch|upper_branch,2
2.7,554.3025606227988,35843.9122772197,189.32488552015474,440.79530485731675,882.1924679017933,lower_branch|upper_branch,2
2.8,554.3331908034124,35842.166349970896,189.3202745349026,440.84516711676355,882.2153470488844,lower_branch|upper_branch,2
2.9,554.3811640074484,35836.872885138364,189.3062938339303,440.8528294395918,882.2384029942052,lower_branch|upper_branch,2
3.0,554.4250352229379,35832.35127706136,189.29435088523206,440.87946746600244,882.2612309685511,lower_branch|upper_branch,2
3.1,554.3807196682344,35846.82318291872,189.33257295805896,440.8892356191914,882.2842354021936,lower_branch|upper_branch,2
3.2,554.4373599986075,35839.56083975867,189.3133931864269,440.92316594519167,882.3071596389193,lower_branch|upper_branch,2
3.3,554.4549475548423,35840.56134943831,189.31603563733927,441.00270076338137,882.3302266329722,lower_branch|upper_branch,2
3.4,554.42521697168,35852.25543724445,189.3469182142779,440.9106105400767,882.3533658147848,lower_branch|upper_branch,2
3.5,554.496143935377,35841.457956902406,189.31840364027585,441.1131711216201,882.3765448365696,lower_branch|upper_branch,2
3.6,554.5090882864281,35844.28945706699,189.32588163552015,440.94992672998103,882.3999666827339,lower_branch|upper_branch,2
3.7,554.5144455940016,35847.85218898146,189.33529039505936,441.06419754713573,882.4232759449959,lower_branch|upper_branch,2
3.8,554.5686130283032,35841.371205231386,189.31817452434774,441.0204544358,882.4462415809229,lower_branch|upper_branch,2
3.9,554.7462771678568,35807.49282171233,189.22867864494623,441.28558443080215,882.4694009817854,lower_branch|upper_branch,2
4.0,554.5964032364234,35845.94625721217,189.33025710966584,440.8570728615639,882.4922001970868,lower_branch|upper_branch,2
4.1,554.7290473231072,35821.94861153085,189.26687140524842,441.01220881144695,882.5148287423971,lower_branch|upper_branch,2
4.2,554.763563716853,35819.084266555845,189.2593043064352,441.1585427761531,882.5378688730693,lower_branch|upper_branch,2
4.3,554.7343770163045,35831.485952512,189.29206521276055,440.8417817069886,882.5612779508565,lower_branch|upper_branch,2
4.4,554.9501750177833,35787.846580486665,189.17676014903805,441.5686547331289,882.584078444859,lower_branch|upper_branch,2
4.5,554.9869991076056,35785.42340552307,189.1703555146077,441.4457359434166,882.6073980969655,lower_branch|upper_branch,2
4.6,555.1587029800562,35751.88374211363,189.08168536934937,442.04138372084043,882.6308491537412,lower_branch|upper_branch,2
4.7,554.8228568474972,35834.277907719756,189.29943979769132,440.4262308384699,882.6541352174911,lower_branch|upper_branch,2
4.8,555.0264131691317,35792.24601010466,189.18838761960168,441.4196596344733,882.6771829037882,lower_branch|upper_branch,2
4.9,554.972932406663,35812.038835921616,189.24069022258828,440.4784557792855,882.7000810499532,lower_branch|upper_branch,2
5.0,555.238132091855,35757.597858553745,189.0967949452178,441.21350716618787,882.7227489692857,lower_branch|upper_branch,2
