signal_family,signal_name,signal_label,pitch_valid_fraction,median_pitch_hz,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,spectral_centroid_hz,spectral_bandwidth_hz,transient_score,crest_factor,zero_crossing_rate
harmonic,sine,harmonic / sine,1.0,220.04400625403267,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,222.75274472427614,20.611387240230606,1.0193134878519665,1.4142132035275574,0.01993242477153677
harmonic,saw,harmonic / saw,1.0,180.0039867244988,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,1147.5095379632505,922.7830560826249,1.06771602774675,1.9965196603847926,0.01630422458559151
harmonic,square,harmonic / square,1.0,150.00213829531646,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,2825.403685670133,2665.68040253528,1.0,0.9999999999999999,0.013583074446132565
inharmonic,bell_resonator,inharmonic / bell_resonator,0.5287356321839081,60.09038687458417,2.9332956186117656,1075.9125168315395,1.4850484913793083,0.08217048202242078,0.3361208075118944,4517.80924125806,2662.7433144904057,835.4837181825893,11.945734695360906,0.3310505907163428
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,1.0,135.88428806749977,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,2055.407543539969,634.5240725547753,1256.344227553391,12.061431683823757,0.21952878750085036
noise,white_noise,noise / white_noise,0.0,,,,,0.0,0.5587981201387135,5505.358616279503,2760.9903255818786,1.0980431765421959,4.2971177748402125,0.4980611805256355
noise,pink_noise,noise / pink_noise,0.9425287356321839,1183.1089966708225,202.21654117774648,405.85331360955416,4.950161637931028,0.07810520365168723,0.1254257493730261,3500.483040225093,2823.9850932457794,3.100969908617395,4.0241986447342235,0.14540012245175626
transient,impulse_train,transient / impulse_train,0.0,,,,,0.0,1.0000000000000007,2708.4537572254335,1356.8666970895451,1582031250.0000002,43.7880269519857,0.0
transient,click_sequence,transient / click_sequence,0.0,,,,,0.0,0.6417541529548693,75.08012751173315,50.341554938802894,44800295568.38452,11.079920447316667,0.0
modulated,vibrato_tone,modulated / vibrato_tone,1.0,220.15544507762075,41.9231799026808,20.63018045235037,5.44517780172413,0.47533708472501157,1.0636372381794743e-06,222.97323811284258,20.267343092259285,1.026472340921781,1.4142135619497445,0.01995510102269893
modulated,fm_tone,modulated / fm_tone,1.0,180.42974714893163,197.69456333372096,99.5002307320405,2.9700969827586166,0.47369483728731915,8.482255387199389e-07,183.28532332785264,20.107845523994673,1.032683028647458,1.4142133528634493,0.01630422458559151
