depth_semitones,rate_hz,shift_semitones,preflight_risk_score,preflight_risk_level,preflight_high_risk,preflight_reasons,catastrophic_threshold,catastrophic_fixed_count,catastrophic_any_fixed,preflight_outcome,worst_fixed_algorithm,worst_fixed_algorithm_label,worst_fixed_composite_stress,safest_fixed_algorithm,safest_fixed_algorithm_label,safest_fixed_composite_stress,pitch_valid_fraction,median_pitch_hz,pitch_iqr_cents,spectral_flatness,spectral_centroid_hz,spectral_bandwidth_hz,transient_score,crest_factor,zero_crossing_rate
0.0,2.0,-12,0.45,high,True,periodic_representation_bias|large_shift,0.521861434335958,1,True,caught,wsola,WSOLA,0.5947147202023889,phase_vocoder,Phase Vocoder,0.05113941151394158,1.0,220.04400624093478,4.2039015447302205e-06,1.063558721599303e-06,222.74882239034898,20.606446437322152,1.019673897862927,1.4142132035275572,0.01995510102269893
0.0,2.0,3,0.25,medium,False,periodic_representation_bias,0.521861434335958,0,False,safe,wsola,WSOLA,0.494029380599679,phase_vocoder,Phase Vocoder,0.0032464111038206715,1.0,220.04400624093478,4.2039015447302205e-06,1.063558721599303e-06,222.74882239034898,20.606446437322152,1.019673897862927,1.4142132035275572,0.01995510102269893
0.0,2.0,7,0.33,high,True,periodic_representation_bias|moderate_shift,0.521861434335958,1,True,caught,wsola,WSOLA,0.5859030079120474,phase_vocoder,Phase Vocoder,0.04317789628916052,1.0,220.04400624093478,4.2039015447302205e-06,1.063558721599303e-06,222.74882239034898,20.606446437322152,1.019673897862927,1.4142132035275572,0.01995510102269893
0.0,2.0,12,0.45,high,True,periodic_representation_bias|large_shift,0.521861434335958,0,False,false_alarm,wsola,WSOLA,0.43580087570863196,psola,PSOLA,0.05092382773538406,1.0,220.04400624093478,4.2039015447302205e-06,1.063558721599303e-06,222.74882239034898,20.606446437322152,1.019673897862927,1.4142132035275572,0.01995510102269893
0.025,2.0,-12,0.45,high,True,periodic_representation_bias|large_shift,0.521861434335958,1,True,caught,wsola,WSOLA,0.5609366784651085,phase_vocoder,Phase Vocoder,0.051145378801561836,1.0,220.02361414557285,3.2947923706656352,1.0636054272600088e-06,222.74998334476373,20.604456689541202,1.0196270251048325,1.4142139284381359,0.01995510102269893
0.025,2.0,3,0.25,medium,False,periodic_representation_bias,0.521861434335958,0,False,safe,wsola,WSOLA,0.4944052558849472,phase_vocoder,Phase Vocoder,0.003142047411288529,1.0,220.02361414557285,3.2947923706656352,1.0636054272600088e-06,222.74998334476373,20.604456689541202,1.0196270251048325,1.4142139284381359,0.01995510102269893
0.025,2.0,7,0.33,high,True,periodic_representation_bias|moderate_shift,0.521861434335958,1,True,caught,wsola,WSOLA,0.5911849780914893,phase_vocoder,Phase Vocoder,0.043150564762792006,1.0,220.02361414557285,3.2947923706656352,1.0636054272600088e-06,222.74998334476373,20.604456689541202,1.0196270251048325,1.4142139284381359,0.01995510102269893
0.025,2.0,12,0.45,high,True,periodic_representation_bias|large_shift,0.521861434335958,0,False,false_alarm,wsola,WSOLA,0.44252564543454387,psola,PSOLA,0.05911302462651516,1.0,220.02361414557285,3.2947923706656352,1.0636054272600088e-06,222.74998334476373,20.604456689541202,1.0196270251048325,1.4142139284381359,0.01995510102269893
0.05,2.0,-12,0.45,high,True,periodic_representation_bias|large_shift,0.521861434335958,1,True,caught,wsola,WSOLA,0.5796635317720584,phase_vocoder,Phase Vocoder,0.05113824555583948,1.0,220.0149889060759,6.540102501470324,1.0637286693565244e-06,222.75340333783882,20.598395612379463,1.0200634431629534,1.4142150341424002,0.01995510102269893
0.05,2.0,3,0.25,medium,False,periodic_representation_bias,0.521861434335958,0,False,safe,wsola,WSOLA,0.5098009080639233,phase_vocoder,Phase Vocoder,0.0031720487023544144,1.0,220.0149889060759,6.540102501470324,1.0637286693565244e-06,222.75340333783882,20.598395612379463,1.0200634431629534,1.4142150341424002,0.01995510102269893
