depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_catastrophic_count,fixed_catastrophic_any,adaptive_catastrophic,adaptive_composite_stress,worst_fixed_algorithm_label,worst_fixed_composite_stress,preflight_outcome
0.0,2.0,-12,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,False,0.04605102536125225,WSOLA,0.5973914677579687,caught
0.0,2.0,3,psola,PSOLA,False,stable_periodic_light_shift,0.0,0.25,medium,periodic_representation_bias,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,False,0.29516438617601753,WSOLA,0.4962888040293905,safe
0.0,2.0,7,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,False,0.02900469812175924,WSOLA,0.5877129015552617,caught
0.0,2.0,12,phase_vocoder,Phase Vocoder,True,high_risk_phase_vocoder_fallback,0.06,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,False,0.05093908685122051,WSOLA,0.4392719651419859,false_alarm
0.025,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,1,True,False,0.046061324524035795,WSOLA,0.5637270587935,caught
0.025,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,0,False,False,0.0008533214367660316,WSOLA,0.49666250886205193,false_alarm
0.025,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,1,True,False,0.02905307454681653,WSOLA,0.5929688291527725,caught
0.025,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,0,False,False,0.05026323305538206,WSOLA,0.445869397936627,false_alarm
0.05,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,6.540102501470324,3.3279631877404214,1.980064655172411,0.4907558123008493,1.0637286693565244e-06,0.5240090363523335,1,True,False,0.04605959657692802,WSOLA,0.5823890684580724,caught
0.05,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,6.540102501470324,3.3279631877404214,1.980064655172411,0.4907558123008493,1.0637286693565244e-06,0.5240090363523335,0,False,False,0.0010692041617770944,WSOLA,0.5119600776889911,false_alarm
