policy_id,depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_stress,selected_catastrophic,fixed_danger,fixed_catastrophic_count,safe_mode,policy_risk_score
thr0.50_bonus0.06_rms5_str0.30,0.0,2.0,-12,rubber_band,0.5021038879452818,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.0,2.0,3,psola,0.2832366002017541,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.0,2.0,7,psola,0.3120960236213002,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.0,2.0,12,rubber_band,0.3823508817496397,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,2.0,-12,rubber_band,0.4806300540400749,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,2.0,3,psola,0.2823091957325057,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.025,2.0,7,psola,0.3043158027414087,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.025,2.0,12,rubber_band,0.3979585847060644,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,2.0,-12,rubber_band,0.4926245123224397,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,2.0,3,psola,0.2808718589226268,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.05,2.0,7,psola,0.2909897758866919,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.05,2.0,12,rubber_band,0.3832837488755873,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.1,2.0,-12,phase_vocoder,0.0510869405903321,False,True,1,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.1,2.0,3,psola,0.2889092555210601,False,False,0,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.1,2.0,7,psola,0.3147728534105093,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.1,2.0,12,phase_vocoder,0.0835320041781444,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.2,2.0,-12,phase_vocoder,0.0506983961727421,False,True,1,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.2,2.0,3,psola,0.2882494730379525,False,False,0,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.2,2.0,7,psola,0.3270244826478951,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.2,2.0,12,phase_vocoder,0.0870618503404695,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,2.0,-12,phase_vocoder,0.0499574832217258,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.35,2.0,3,psola,0.3060210255558995,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.35,2.0,7,psola,0.3457025260538095,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.35,2.0,12,phase_vocoder,0.0881770814417614,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,2.0,-12,phase_vocoder,0.0493235928138729,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.5,2.0,3,psola,0.3032809421998507,False,True,1,False,0.31
thr0.50_bonus0.06_rms5_str0.30,0.5,2.0,7,psola,0.3580686979345802,False,True,1,False,0.39
thr0.50_bonus0.06_rms5_str0.30,0.5,2.0,12,phase_vocoder,0.0894114295710415,False,False,0,True,0.51
thr0.50_bonus0.06_rms5_str0.30,0.75,2.0,-12,phase_vocoder,0.0486735859145441,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,0.75,2.0,3,psola,0.3176118212209078,False,True,1,False,0.46
thr0.50_bonus0.06_rms5_str0.30,0.75,2.0,7,phase_vocoder,0.0468950902946526,False,True,1,True,0.54
thr0.50_bonus0.06_rms5_str0.30,0.75,2.0,12,phase_vocoder,0.0941993526692302,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,1.0,2.0,-12,phase_vocoder,0.0478740686938133,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,1.0,2.0,3,psola,0.3165146405977981,False,True,1,False,0.46
thr0.50_bonus0.06_rms5_str0.30,1.0,2.0,7,phase_vocoder,0.0481791577419505,False,True,1,True,0.54
thr0.50_bonus0.06_rms5_str0.30,1.0,2.0,12,phase_vocoder,0.0971646842391897,False,False,0,True,0.6600000000000001
thr0.50_bonus0.06_rms5_str0.30,0.0,4.0,-12,rubber_band,0.5021038879452818,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.0,4.0,3,psola,0.2832366002017541,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.0,4.0,7,psola,0.3120960236213002,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.0,4.0,12,rubber_band,0.3823508817496397,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,4.0,-12,rubber_band,0.4918768047770743,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.025,4.0,3,psola,0.282972575149632,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.025,4.0,7,psola,0.3105086872609007,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.025,4.0,12,rubber_band,0.3979825558165373,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,4.0,-12,rubber_band,0.4926424209816217,False,True,1,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.05,4.0,3,psola,0.2845607115116527,False,False,0,False,0.25
thr0.50_bonus0.06_rms5_str0.30,0.05,4.0,7,psola,0.3100198911566659,False,True,1,False,0.33
thr0.50_bonus0.06_rms5_str0.30,0.05,4.0,12,rubber_band,0.3915265615134456,False,False,0,False,0.45
thr0.50_bonus0.06_rms5_str0.30,0.1,4.0,-12,phase_vocoder,0.0510592764650409,False,True,1,True,0.51
