signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.656937951760593,0.3355213268479526,48.50482749480613,0.0007614690424263846,0.05614663663243366,0.01414404542246855,0.0236840503657762
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,3,130.2874929495521,1.9140025931271665,259.83027237487755,0.15644506846602652,0.8134066028933191,0.08021697581306789,0.35002288239080454
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,88.70385473112793,1.92092023872056,276.89056180843744,0.10650398416623814,0.8167252714011856,0.08555103919018174,0.33626009825253517
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,3,0.6958645879355826,0.490083143547397,766.396639419815,0.0008082191225543186,0.13029606025843374,0.23859981668191624,0.12323469868763477
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.6558912929173847,0.4135466005078451,120.95591754866206,0.0007602120269327614,0.09357844995921599,0.03679657471238985,0.04371174556617954
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,7,291.0404444375513,2.001706240408678,326.4624740260572,0.34950601853328084,0.8554815152791377,0.10105017374609136,0.4353459025195033
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,177.54711869567237,1.987056993752296,344.26854006006243,0.21320289569043047,0.848453691594598,0.1066174113414643,0.3894246662088309
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,7,0.6497438047447877,0.4522625031964318,871.4056829568286,0.000752829021543791,0.11215200150527084,0.2714319028887714,0.128112244471862
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.6462370717358121,0.4197798136951229,228.6409506290908,0.0007486175081620565,0.09656876914052706,0.07046533475626625,0.05592757380165179
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,12,36.42308869454871,1.7282054397073543,431.9022991400889,0.04371587192420983,0.7242723514227869,0.13401694795120445,0.3006683904327337
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,16.45785260538132,1.6109065765517965,458.4134310579088,0.019738038783277158,0.6679994421059742,0.1423059080183473,0.2766811296358662
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,12,0.6363001150822565,0.3706183882286117,163.04731757910548,0.0007366834299721715,0.07298408670849486,0.04995685527317443,0.04122587513721382
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.8871163912181584,0.4734428227057045,110.39297935538906,0.0010379085590594154,0.1223130394470094,0.03349397061584858,0.052281639540639135
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,-12,376.19361996387727,1.900034922075096,206.70920795704848,0.4517732106201611,0.8067057580143892,0.06360816472765583,0.4406957111207354
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,251.8599506125386,1.9310220934202988,218.7411293396032,0.3024510606495008,0.8215715311018967,0.06737006052977214,0.39713088409372327
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.7479910040017748,0.3957540560819043,214.9907676785259,0.0008708218636933597,0.08504266187004654,0.06619747392945735,0.05070365255439909
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.4824536802198902,0.8956925980537976,310.89751098580183,0.0005519170626734303,0.32488297642667524,0.09618363853035015,0.14053951067323295
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,3,320.4937882418623,2.246537646230137,295.9268410408002,0.3848788716279394,0.9729368351949638,0.09150291475977874,0.4831062071942273
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,100.30596638991814,1.9461645502571645,330.65162755121264,0.12043787887173986,0.8288359672395655,0.1023599528378624,0.35054459964972257
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,3,0.4868214282453099,0.8611344741266238,456.800194541705,0.0005571626371754005,0.30830407598725623,0.14180151412437397,0.1502209175829352
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.4835360442843951,0.8637156866805997,666.5285608896255,0.0005532169593949383,0.309542385857188,0.207375102569932,0.17249023512883832
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,7,230.46547457915284,2.197942280025056,605.0460367477204,0.2767567400727186,0.949623713804782,0.18815200077936517,0.4715108182189553
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,113.68109620586944,2.0473559723181087,643.7577931563943,0.1365011314940918,0.8773814992599671,0.20025560329604133,0.40471274468336677
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,7,0.4607517884772314,0.788554224034966,484.8622713992127,0.0005258535422259865,0.2734844560717334,0.15057539202570286,0.14152856721322074
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.4786545091954336,0.7209688146921078,1226.613388107646,0.0005473543373196483,0.24106105904318237,0.38249100412456266,0.2080331391683549
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,12,116.7365091347763,1.7597855338964985,1064.1066508465456,0.1401706188499527,0.7394225730763879,0.33168171163662025,0.4037583011876536
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,59.58080237058617,1.8705435581648449,1177.7797054620198,0.07152780422341247,0.7925575829826343,0.3672226841359679,0.4104360237806716
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,12,0.4572800584681837,0.7972197634154633,861.2058746307995,0.0005216840667188835,0.2776416584402961,0.2682428348335467,0.18213539244685392
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.5795772719572991,0.7499225880332745,502.2338983159349,0.0006685604755700707,0.25495133059207437,0.15600679805771867,0.13720889637512104
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,-12,399.2090810006494,1.962911551021291,565.1879048736228,0.4794143004593534,0.8368701666339663,0.17568997296103434,0.49732481335145134
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,168.5392213630737,1.6292168002383196,541.0312081264118,0.20238459841475268,0.6767835814348936,0.16813714966731746,0.34910177650565455
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.5140425601511004,0.6084239116294462,1149.8231001527831,0.0005898546502239466,0.1870688126245984,0.3584817829273939,0.18204681673407208
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,3,1.037411313657616,0.9725105060616916,168.87059376193994,0.0012184096338319812,0.36173556864236256,0.051777558511688894,0.13824384559596115
harmonic,square,harmonic / square,wsola,WSOLA,local waveform-similarity overlap-add,3,569.4074942858554,2.3029498435656284,914.8255747561049,0.683819053620194,1.0,0.2850075491629294,0.6562755342610411
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,219.05348583504065,2.106088227311582,369.22336503881945,0.2630511790319959,0.9055576875904254,0.1144197770938077,0.42767621457207633
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,3,0.9775270034945174,1.0407158996445354,599.4182686887501,0.0011464898232954198,0.39445639666023435,0.18639242503388023,0.19399843717247
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,7,1.0360443343529675,1.0028411654225309,241.1546959940324,0.0012167679201288435,0.37628638693518907,0.07437787745500608,0.150627010770108
harmonic,square,harmonic / square,wsola,WSOLA,local waveform-similarity overlap-add,7,417.1352425846857,2.274394517016607,728.4105448017785,0.500943247545165,0.9863008791545229,0.22672309929498446,0.5713224086648908
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,162.60185857730076,2.102167953423429,378.82974901883006,0.19525394924343184,0.9036769769759283,0.1174233053266564,0.40545141051533884
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,7,0.8901516677882833,1.0713811937991875,1101.207289102461,0.0010415538630673417,0.40916775251412413,0.34328158258600383,0.2511636296543984
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,12,1.0353915279528232,0.9917365664719014,506.874531514432,0.0012159839132247384,0.37095907111184956,0.1574577366063947,0.17654426387715635
harmonic,square,harmonic / square,wsola,WSOLA,local waveform-similarity overlap-add,12,177.0386299312781,2.129394285917286,399.95970834792354,0.21259221126414915,0.9167385267492143,0.12402979009094825,0.41778684270143723
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,67.88689766955841,1.949788762355168,309.19940854638395,0.0815032518585898,0.8305746452902247,0.09565271049023914,0.3359102025463512
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,12,0.9001169008745827,1.1728083601557917,2570.087472810794,0.0010535219006646249,0.4578263804078765,0.8025410824790233,0.4204736615958548
harmonic,square,harmonic / square,phase_vocoder,Phase Vocoder,local phase vocoder,-12,1.253861479939483,1.1203287089033085,1707.4653124308663,0.0014783617800152012,0.4326498136751492,0.5328339774566396,0.322320717637268
harmonic,square,harmonic / square,wsola,WSOLA,local waveform-similarity overlap-add,-12,832.6767899000986,2.2524644383415464,1744.191732960796,1.0,0.9757801520528829,0.544316845639158,0.8400323325640137
harmonic,square,harmonic / square,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,250.60412156408864,2.0399266070265165,1528.0131688328097,0.3009428360914347,0.8738173385504058,0.47672654089533434,0.550495571845725
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.781990532855476,0.7430726135006336,454.4632240164327,0.0009116545904431676,0.2516651265716093,0.14107083784008256,0.13121587300071166
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.0931155722813038,0.2609770172660812,205.7876426076759,8.433009571424438e-05,0.020384779608959968,0.06332002846837083,0.027929712724348344
inharmonic,bell_resonator,inharmonic / bell_resonator,wsola,WSOLA,local waveform-similarity overlap-add,3,70.73038201019597,1.480261972923757,533.1382704336181,0.08491821738938335,0.6053240526357287,0.16566934687599125,0.28530387230036774
inharmonic,bell_resonator,inharmonic / bell_resonator,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,21.386980945224764,1.3900829033925244,504.9998674394286,0.025657819362638064,0.5620615821778882,0.1568716048748195,0.2481970021384486
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,3,0.0769206117670968,0.241931556961982,1531.4041136129156,6.488028509345534e-05,0.011247918161562823,0.47778675235515855,0.16303318360060495
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.0928060031570722,0.2665856980156342,108.29201650511658,8.395830963702201e-05,0.023075485850400597,0.03283708439829883,0.018665509519445483
