signal_family,signal_name,signal_label,shift_semitones,adaptive_state,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,composite_stress
harmonic,sine,harmonic / sine,3,medium,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,0.12323469868763477
harmonic,sine,harmonic / sine,7,high,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,0.128112244471862
harmonic,sine,harmonic / sine,12,high,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,0.2766811296358662
harmonic,sine,harmonic / sine,-12,high,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,0.39713088409372327
harmonic,saw,harmonic / saw,3,high,psola,PSOLA,False,selective_low_risk_psola,0.0,0.45,high,periodic_representation_bias|sharp_harmonic_structure,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,0.1502209175829352
harmonic,saw,harmonic / saw,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|sharp_harmonic_structure|moderate_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,0.17249023512883832
harmonic,saw,harmonic / saw,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,0.2080331391683549
harmonic,saw,harmonic / saw,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.65,high,periodic_representation_bias|sharp_harmonic_structure|large_shift,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,0.13720889637512104
harmonic,square,harmonic / square,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.53,high,periodic_representation_bias|broadband_structure|high_centroid,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,0.13824384559596115
harmonic,square,harmonic / square,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.61,high,periodic_representation_bias|broadband_structure|high_centroid|moderate_shift,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,0.150627010770108
harmonic,square,harmonic / square,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.73,high,periodic_representation_bias|broadband_structure|high_centroid|large_shift,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,0.1765442638771563
harmonic,square,harmonic / square,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.73,high,periodic_representation_bias|broadband_structure|high_centroid|large_shift,1.0,0.05589095807613785,0.11167476843199989,8.91029094827585,0.09128640478095211,0.00864122960153045,0.322320717637268
inharmonic,bell_resonator,inharmonic / bell_resonator,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.9399999999999998,high,partial_pitch_tracking|diffuse_spectrum|sparse_transients|broadband_structure|high_centroid|peaky_waveform|dense_zero_crossings,0.5287356321839081,2.9332956186117656,1075.9125168315395,1.4850484913793083,0.08217048202242078,0.3361208075118944,0.027929712724348355
inharmonic,bell_resonator,inharmonic / bell_resonator,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,partial_pitch_tracking|diffuse_spectrum|sparse_transients|broadband_structure|high_centroid|peaky_waveform|dense_zero_crossings|moderate_shift,0.5287356321839081,2.9332956186117656,1075.9125168315395,1.4850484913793083,0.08217048202242078,0.3361208075118944,0.018665509519445483
inharmonic,bell_resonator,inharmonic / bell_resonator,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,partial_pitch_tracking|diffuse_spectrum|sparse_transients|broadband_structure|high_centroid|peaky_waveform|dense_zero_crossings|large_shift,0.5287356321839081,2.9332956186117656,1075.9125168315395,1.4850484913793083,0.08217048202242078,0.3361208075118944,0.031130216657789884
inharmonic,bell_resonator,inharmonic / bell_resonator,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,partial_pitch_tracking|diffuse_spectrum|sparse_transients|broadband_structure|high_centroid|peaky_waveform|dense_zero_crossings|large_shift,0.5287356321839081,2.9332956186117656,1075.9125168315395,1.4850484913793083,0.08217048202242078,0.3361208075118944,0.24472229064973292
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.89,high,unstable_pitch|periodic_representation_bias|sparse_transients|high_crest_factor,1.0,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,0.03423685231484649
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.97,high,unstable_pitch|periodic_representation_bias|sparse_transients|high_crest_factor|moderate_shift,1.0,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,0.10022828606575095
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,unstable_pitch|periodic_representation_bias|sparse_transients|high_crest_factor|large_shift,1.0,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,0.19766983769070623
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,unstable_pitch|periodic_representation_bias|sparse_transients|high_crest_factor|large_shift,1.0,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,0.09996784706247515
