signal_family,signal_name,signal_label,selected_algorithms,guards,adaptive_mean_stress,adaptive_max_stress,adaptive_catastrophic_count,best_fixed_algorithm_label
harmonic,sine,harmonic / sine,PSOLA|Rubber Band,selective_low_risk_psola|selective_low_risk_rubberband,0.23648334176036967,0.3988964991135437,0,n/a
harmonic,saw,harmonic / saw,PSOLA|Phase Vocoder,selective_high_risk_phase_vocoder|selective_low_risk_psola,0.17354577751451508,0.21489172291778555,0,n/a
harmonic,square,harmonic / square,Phase Vocoder,selective_high_risk_phase_vocoder,0.20254566235544919,0.3274498882642121,0,n/a
inharmonic,bell_resonator,inharmonic / bell_resonator,Phase Vocoder,selective_high_risk_phase_vocoder,0.089438768845669,0.2534160778133052,0,n/a
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,Phase Vocoder,selective_high_risk_phase_vocoder,0.11671397508965992,0.20622414768924915,0,n/a
noise,white_noise,noise / white_noise,Phase Vocoder,noise_fallback_dry_guard|selective_high_risk_phase_vocoder,0.1163156874229688,0.1440491332219199,0,n/a
noise,pink_noise,noise / pink_noise,Phase Vocoder,selective_high_risk_phase_vocoder,0.13807846345314978,0.2715978912119326,0,n/a
transient,impulse_train,transient / impulse_train,Phase Vocoder,noise_fallback_dry_guard|selective_high_risk_phase_vocoder,0.045962520503805115,0.07259285428290964,0,n/a
transient,click_sequence,transient / click_sequence,Phase Vocoder,noise_fallback_dry_guard|selective_high_risk_phase_vocoder,0.01886457631760819,0.027356311829120405,0,n/a
modulated,vibrato_tone,modulated / vibrato_tone,PSOLA|Phase Vocoder,selective_high_risk_phase_vocoder|selective_low_risk_psola,0.1032130423123638,0.14312732090083213,0,n/a
modulated,fm_tone,modulated / fm_tone,Phase Vocoder,selective_high_risk_phase_vocoder,0.05482787428162745,0.07692443214676305,0,n/a
