signal_family,signal_name,signal_label,case_label,shift_semitones,dry_mix,algorithm,algorithm_label,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,dry_similarity,peak_preservation,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.250365419852364,0.7825103604947405,82.27883485513804,1.0,0.0,0.8138114307704304,0.0002759331089748671,0.2705849754137558,0.025177677172210356,0.09867952856498036,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.1,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.2253288778671276,0.7965318142116723,77.74298795911136,1.0179185534464574,0.0,0.751947064768945,0.0002458648256548169,0.2773116219666419,0.02376019011210241,0.10043922563479969,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.2,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.2002923358818912,0.7797076266711935,70.81147084803119,0.9964182789582812,0.04368915924184358,0.6900826987674594,0.00021579654233476667,0.2692403930192746,0.021594037674179573,0.09701674241192965,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.3,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.17525579389665477,0.7309910772135951,65.51392921262082,0.9341615320612848,0.16322801433661327,0.628218332765974,0.00018572825901471643,0.2458691352243898,0.019938515146478035,0.08866445954329417,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.4,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.15021925191141838,0.6540128907707204,60.75193260126783,0.8357881553890509,0.28276686943138274,0.5663539667644887,0.00015565997569466622,0.2089396510969271,0.018450354560020924,0.0758485552108809,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.5,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.125182709926182,0.5573225382656666,51.05355011785744,0.7122238457179028,0.4023057245261522,0.573471846817687,0.000125591692374616,0.1625534603704934,0.01541953540114363,0.05936619582133721,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.6,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.10014616794094561,0.4483453818622754,38.85352044369772,0.5729577581296303,0.5218445796209217,0.6226753980425515,9.552340905456581e-05,0.11027280329575698,0.011606932244012595,0.04065841964960804,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.7,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0751096259557092,0.33358177432325076,27.119885124307107,0.4262969427169557,0.6413834347156913,0.671878949267416,6.545512573451559e-05,0.05521615648623651,0.007940080911832204,0.02107389750793441,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,0.85,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0375548129778546,0.16185148926311801,11.79474672447435,0.2068362253514289,0.8206917173578456,0.8226610513731503,2.0352700754440248e-05,0.0,0.003150857229005654,0.001057069976586698,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,1.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.40410895268938746,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,0.0,preflight_adaptive_v3_guard_sweep,Adaptive v3 Guard Sweep,0.2382796828515766,1.1367982523121154,2471.2711482261243,1.0,0.0,0.6130001018702299,0.00026141843021109946,0.44055090578977635,0.7717561593222819,0.4041894945140898,0.40410895268938746,True
