selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,signal_family,signal_name,signal_label,case_id,case_label,shift_semitones,policy,policy_label,guard_applied,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:3,harmonic / sine +3,3,no_guard,No Guard,False,0.6958645879355826,0.490083143547397,766.396639419815,1.0,0.0008082191225543186,0.13029606025843374,0.23859981668191624,0.12323469868763477,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:3,harmonic / sine +3,3,current_v3,Current v3,False,0.6958645879355826,0.490083143547397,766.396639419815,1.0,0.0008082191225543186,0.13029606025843374,0.23859981668191624,0.12323469868763477,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:3,harmonic / sine +3,3,noise_only,Noise Only,False,0.6958645879355826,0.490083143547397,766.396639419815,1.0,0.0008082191225543186,0.13029606025843374,0.23859981668191624,0.12323469868763477,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:3,harmonic / sine +3,3,noise_plus_transient,Noise + Transient,False,0.6958645879355826,0.490083143547397,766.396639419815,1.0,0.0008082191225543186,0.13029606025843374,0.23859981668191624,0.12323469868763477,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.1,0.25,medium,periodic_representation_bias,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:3,harmonic / sine +3,3,forced_everywhere,Forced Everywhere,True,0.6262781291420243,0.4012799941442877,646.7307347478621,0.8187998290242746,0.0007246472333781305,0.08769367316810525,0.20118512204348724,0.0965344808149902,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:7,harmonic / sine +7,7,no_guard,No Guard,False,0.6497438047447877,0.45226250319643185,871.4056829568286,1.0,0.000752829021543791,0.11215200150527087,0.2714319028887714,0.128112244471862,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:7,harmonic / sine +7,7,current_v3,Current v3,False,0.6497438047447877,0.45226250319643185,871.4056829568286,1.0,0.000752829021543791,0.11215200150527087,0.2714319028887714,0.128112244471862,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:7,harmonic / sine +7,7,noise_only,Noise Only,False,0.6497438047447877,0.45226250319643185,871.4056829568286,1.0,0.000752829021543791,0.11215200150527087,0.2714319028887714,0.128112244471862,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:7,harmonic / sine +7,7,noise_plus_transient,Noise + Transient,False,0.6497438047447877,0.45226250319643185,871.4056829568286,1.0,0.000752829021543791,0.11215200150527087,0.2714319028887714,0.128112244471862,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.1,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:7,harmonic / sine +7,7,forced_everywhere,Forced Everywhere,True,0.5847694242703089,0.32205136870311973,621.5348313489666,0.7120894755301937,0.0006747961424686557,0.049684564342950197,0.19330738080722362,0.0812222470975475,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:12,harmonic / sine +12,12,no_guard,No Guard,False,16.45785260538132,1.6109065765517965,458.41343105790884,1.0,0.019738038783277158,0.6679994421059742,0.1423059080183473,0.2766811296358662,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:12,harmonic / sine +12,12,current_v3,Current v3,False,16.45785260538132,1.6109065765517965,458.41343105790884,1.0,0.019738038783277158,0.6679994421059742,0.1423059080183473,0.2766811296358662,0.4040532713727877,False
