signal_family,signal_name,signal_label,case_label,shift_semitones,guard_type,guard_label,implementation,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,dry_similarity,peak_preservation,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
noise,white_noise,noise / white_noise,noise / white_noise +12,12,no_guard,No Guard,baseline_phase_vocoder,0.250365419852364,0.7825103604947405,82.27883485513804,1.0,0.0,0.8138114307704304,0.0002731838908637922,0.2705849754137558,0.024703813265840265,0.09852065752348661,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,dry_wet_010,Dry/Wet 0.10,small_dry_blend,0.2253288778671276,0.7965318142116723,77.74298795911136,1.0179185534464574,0.0,0.751947064768945,0.00024311552485665685,0.2773116219666419,0.023285637161236928,0.10028012488424516,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,dry_wet_040,Dry/Wet 0.40,legacy_heavy_dry_blend,0.15021925191141838,0.6540128907707204,60.75193260126783,0.8357881553890509,0.28276686943138274,0.5663539667644887,0.00015291042683525063,0.2089396510969271,0.017973220482976882,0.07568859400224641,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,reduced_shift_080,Reduced Shift 80%,reduced_shift_strength,0.2414816717911385,0.8146035605136812,76.02057604666399,1.041013131121548,0.0,0.620464893869754,0.00026251469427995,0.2859813542512656,0.02274710853085993,0.10299699249213516,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,spectral_smooth,Spectral Smoothing,smoothed_shifted_output,0.23200783818459747,0.8862703554363507,86.44151890616406,1.1325988768711102,0.0,0.5854592474528206,0.00025113681723366486,0.32036275355231164,0.026005316422251873,0.11553973559726571,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,rubberband_crossfade,Rubber Band Crossfade,phase_vocoder_rubberband_blend,15.33045788480134,1.522224196347417,89.66429463235049,1.5,0.0,2.0,0.01838406118074321,0.6254549927823517,0.02701294821189118,0.2236173340583287,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise +12,12,rubberband_fallback,Rubber Band Fallback,alternate_algorithm_fallback,30.65825492696682,1.6199477481234825,95.096857797949,1.5,0.0,2.0,0.03679242651405053,0.6723368501104876,0.028711491272272897,0.24594692263227036,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,no_guard,No Guard,baseline_phase_vocoder,0.2382796828515766,1.1367982523121154,2471.2711482261243,1.0,0.0,0.6130001018702299,0.00025866917218499293,0.44055090578977635,0.771645209341536,0.40415159476783247,0.4040532713727877,True
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,dry_wet_010,Dry/Wet 0.10,small_dry_blend,0.21445171456641896,1.0178546828658268,2076.81494639795,0.8953696760138651,0.0,0.5427535990416151,0.0002300522780457375,0.38348896574017344,0.6483146885879939,0.34401123553540436,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,dry_wet_040,Dry/Wet 0.40,legacy_heavy_dry_blend,0.14296780971094597,0.6573549455059966,642.8332908351188,0.5782511929174883,0.31738942629013434,0.5178967052597955,0.00014420159562797107,0.21054296708815382,0.19996654876427752,0.13688457248268646,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,reduced_shift_080,Reduced Shift 80%,reduced_shift_strength,0.23926417111911685,1.0446206581670112,2084.1785667881036,0.9189147291899634,0.0,0.6401700168846155,0.0002598515221107769,0.3963296639394571,0.6506169952398859,0.3490688369004846,0.4040532713727877,False
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,spectral_smooth,Spectral Smoothing,smoothed_shifted_output,0.22540661925789368,1.2053792221095487,2508.0821190771676,1.060328180183201,0.0,0.4572646916034357,0.0002432088906494583,0.4734519125894077,0.7831545129941636,0.4189498781580736,0.4040532713727877,True
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,rubberband_crossfade,Rubber Band Crossfade,phase_vocoder_rubberband_blend,69.21854424215879,1.8377029300029408,2434.040458158994,1.5,0.0,2.0,0.0831025316856804,0.776802633269173,0.7600046764440636,0.5399699471329723,0.4040532713727877,True
noise,white_noise,noise / white_noise,noise / white_noise -12,-12,rubberband_fallback,Rubber Band Fallback,alternate_algorithm_fallback,138.4375455306783,1.9107895459886253,2358.7117335577996,1.5,0.0,2.0,0.16623311204373817,0.8118651769545357,0.7364524270695884,0.5715169053559541,0.4040532713727877,True
