render_policy,render_label,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,reference_rms,render_rms,relative_rms_db,peak_ratio,active_fraction,median_frame_rms_db,crest_factor,silence_like_health_flag,initial_algorithm,initial_algorithm_label,final_algorithm,final_algorithm_label,fallback_used,attempted_algorithms,rejected_algorithms,final_guard,preflight_reasons,preflight_risk_score,preflight_risk_level,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
fixed_phase_vocoder,Fixed Phase Vocoder,3,0.08598954883064776,0.24174849988106797,714.1374568605404,0.07175767729320622,0.05674958851791752,-2.038113116271511,1.0995511344956717,1.0,-8.41795958208242,17.26884767967234,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,none,,,,0.44332378046069604,0.0,0.11839250381915895,0.18723876142661833
fixed_wsola,Fixed WSOLA,3,0.07177018674633703,0.40118465418483035,445.4021809926044,0.07175767729320622,0.0015910870734641251,-33.08348850589156,1.0995511344956717,0.005319148936170213,-82.02142450511477,615.9310928636593,True,wsola,WSOLA,wsola,WSOLA,False,wsola,none,none,,,,0.0005198917951804875,1.0,0.0,0.3335066305983935
fixed_rubber_band,Fixed Rubber Band,3,0.07175349192980637,0.3989349504661343,821.4781638468158,0.07175767729320622,0.001477340005061778,-33.727758287883994,1.0995511344956714,0.010638297872340425,-65.04731123352259,663.3544049726178,True,rubber_band,Rubber Band,rubber_band,Rubber Band,False,rubber_band,none,none,,,,0.0,0.9858896262988768,0.1656819228237152,0.38385718304086397
fixed_psola,Fixed PSOLA,3,0.10386559041919367,0.38620669418795334,2225.7823076407462,0.07175767729320622,0.07081180887321858,-0.11525368397525135,1.0995511344956717,0.8404255319148937,-8.206942131104672,13.83949959186315,False,psola,PSOLA,psola,PSOLA,False,psola,none,none,,,,1.0,0.9060566904521508,0.7843542693194094,0.8968036532571867
adaptive_v3,Adaptive v3,3,0.08598954883064776,0.24174849988106797,714.1374568605404,0.07175767729320622,0.05674958851791752,-2.038113116271511,1.0995511344956717,1.0,-8.41795958208242,17.26884767967234,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,selective_high_risk_phase_vocoder,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform,1.0,high,0.44332378046069604,0.0,0.11839250381915895,0.18723876142661833
adaptive_v4,Adaptive v4,3,0.08598954883064776,0.24174849988106797,714.1374568605404,0.07175767729320622,0.05674958851791752,-2.038113116271511,1.0995511344956717,1.0,-8.41795958208242,17.26884767967234,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,post_render_health_pass,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform,1.0,high,0.44332378046069604,0.0,0.11839250381915895,0.18723876142661833
adaptive_v4_wsola_probe,Adaptive v4 from WSOLA,3,0.08598954883064776,0.24174849988106797,714.1374568605404,0.07175767729320622,0.05674958851791752,-2.038113116271511,1.0995511344956717,1.0,-8.41795958208242,17.26884767967234,False,wsola,WSOLA,phase_vocoder,Phase Vocoder,True,wsola|phase_vocoder,wsola,post_render_health_fallback,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform,1.0,high,0.44332378046069604,0.0,0.11839250381915895,0.18723876142661833
adaptive_v4_rubber_probe,Adaptive v4 from Rubber Band,3,0.08598954883064776,0.24174849988106797,714.1374568605404,0.07175767729320622,0.05674958851791752,-2.038113116271511,1.0995511344956717,1.0,-8.41795958208242,17.26884767967234,False,rubber_band,Rubber Band,phase_vocoder,Phase Vocoder,True,rubber_band|phase_vocoder,rubber_band,post_render_health_fallback,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform,1.0,high,0.44332378046069604,0.0,0.11839250381915895,0.18723876142661833
fixed_phase_vocoder,Fixed Phase Vocoder,7,0.09315661843577368,0.27378703809168714,1879.5643447933626,0.07175767729320622,0.058118074688585875,-1.8311430790777838,1.0995511344956717,1.0,-9.044871947475691,16.86222410585923,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,none,,,,0.6665128569234056,0.20094901530037168,0.6318264280961614,0.4997627667733129
fixed_wsola,Fixed WSOLA,7,0.07177059151714618,0.4011490579458693,1072.2518226698355,0.07175767729320622,0.0015566687397097643,-33.273443369734466,1.0995511344956717,0.005319148936170213,-79.56586376607062,629.549482815925,True,wsola,WSOLA,wsola,WSOLA,False,wsola,none,none,,,,0.0005324967269099385,0.9997767367187418,0.2761613575166849,0.42549019698744556
fixed_rubber_band,Fixed Rubber Band,7,0.07176831929439637,0.3998381510849762,2094.6141924627937,0.07175767729320622,0.0013157070874145738,-34.73418317098058,1.0995511344956717,0.010638297872340425,-70.29312900576241,744.8466375032957,True,rubber_band,Rubber Band,rubber_band,Rubber Band,False,rubber_band,none,none,,,,0.0004617376405622449,0.9915545937134891,0.7265675811855108,0.572861304179854
