blind_id,wav_file,shift_semitones,artifact_rating_1_bad_5_clean,transient_rating_1_smeared_5_crisp,groove_rating_1_bad_5_good,overall_rating_1_bad_5_good,notes,artifact_rating,transient_rating,groove_rating,overall_rating,render_policy,render_label,initial_algorithm_label,final_algorithm_label,fallback_used,rejected_algorithms,final_guard,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
V4LT_001,audio/V4LT_001.wav,-12,3,2,4,4,,3,2,4,4,adaptive_v4,Adaptive v4 Normal,Phase Vocoder,Phase Vocoder,False,none,post_render_health_pass,0.0959793154853782,0.2873249668849792,2258.093655738695,1.0,1.0,1.0,1.0
V4LT_002,audio/V4LT_002.wav,-12,3,2,3,2,,3,2,3,2,adaptive_v4_rubber_probe,Adaptive v4 Rescue From Rubber Band,Rubber Band,Phase Vocoder,True,rubber_band,post_render_health_fallback,0.0959793154853782,0.2873249668849792,2258.093655738695,1.0,1.0,1.0,1.0
V4LT_006,audio/V4LT_006.wav,-12,3,2,3,3,,3,2,3,3,adaptive_v3,Adaptive v3,Phase Vocoder,Phase Vocoder,False,none,selective_high_risk_phase_vocoder,0.0959793154853782,0.2873249668849792,2258.093655738695,1.0,1.0,1.0,1.0
V4LT_013,audio/V4LT_013.wav,-12,3,2,3,2,,3,2,3,2,phase_vocoder,Phase Vocoder,Phase Vocoder,Phase Vocoder,False,none,none,0.0959793154853782,0.2873249668849792,2258.093655738695,1.0,1.0,1.0,1.0
V4LT_015,audio/V4LT_015.wav,-12,4,3,3,4,,4,3,3,4,adaptive_v4_wsola_probe,Adaptive v4 Rescue From WSOLA,WSOLA,Phase Vocoder,True,wsola,post_render_health_fallback,0.0959793154853782,0.2873249668849792,2258.093655738695,1.0,1.0,1.0,1.0
V4LT_003,audio/V4LT_003.wav,3,3,3,3,3,,3,3,3,3,phase_vocoder,Phase Vocoder,Phase Vocoder,Phase Vocoder,False,none,none,0.0859895488306477,0.2417484998810679,714.1374568605404,0.0,0.0,0.0,0.0
V4LT_004,audio/V4LT_004.wav,3,4,3,3,2,,4,3,3,2,adaptive_v4_rubber_probe,Adaptive v4 Rescue From Rubber Band,Rubber Band,Phase Vocoder,True,rubber_band,post_render_health_fallback,0.0859895488306477,0.2417484998810679,714.1374568605404,0.0,0.0,0.0,0.0
V4LT_010,audio/V4LT_010.wav,3,2,3,3,3,,2,3,3,3,adaptive_v4_wsola_probe,Adaptive v4 Rescue From WSOLA,WSOLA,Phase Vocoder,True,wsola,post_render_health_fallback,0.0859895488306477,0.2417484998810679,714.1374568605404,0.0,0.0,0.0,0.0
V4LT_012,audio/V4LT_012.wav,3,3,3,3,3,,3,3,3,3,adaptive_v4,Adaptive v4 Normal,Phase Vocoder,Phase Vocoder,False,none,post_render_health_pass,0.0859895488306477,0.2417484998810679,714.1374568605404,0.0,0.0,0.0,0.0
V4LT_014,audio/V4LT_014.wav,3,3,3,3,3,,3,3,3,3,adaptive_v3,Adaptive v3,Phase Vocoder,Phase Vocoder,False,none,selective_high_risk_phase_vocoder,0.0859895488306477,0.2417484998810679,714.1374568605404,0.0,0.0,0.0,0.0
V4LT_005,audio/V4LT_005.wav,7,3,2,3,2,,3,2,3,2,adaptive_v4_wsola_probe,Adaptive v4 Rescue From WSOLA,WSOLA,Phase Vocoder,True,wsola,post_render_health_fallback,0.0931566184357736,0.2737870380916871,1879.5643447933624,0.7174411428050776,0.7029623030646432,0.75483157409493,0.725078339988217
V4LT_007,audio/V4LT_007.wav,7,3,3,3,3,,3,3,3,3,adaptive_v4,Adaptive v4 Normal,Phase Vocoder,Phase Vocoder,False,none,post_render_health_pass,0.0931566184357736,0.2737870380916871,1879.5643447933624,0.7174411428050776,0.7029623030646432,0.75483157409493,0.725078339988217
V4LT_008,audio/V4LT_008.wav,7,2,3,3,4,,2,3,3,4,adaptive_v4_rubber_probe,Adaptive v4 Rescue From Rubber Band,Rubber Band,Phase Vocoder,True,rubber_band,post_render_health_fallback,0.0931566184357736,0.2737870380916871,1879.5643447933624,0.7174411428050776,0.7029623030646432,0.75483157409493,0.725078339988217
V4LT_009,audio/V4LT_009.wav,7,3,3,3,4,,3,3,3,4,adaptive_v3,Adaptive v3,Phase Vocoder,Phase Vocoder,False,none,selective_high_risk_phase_vocoder,0.0931566184357736,0.2737870380916871,1879.5643447933624,0.7174411428050776,0.7029623030646432,0.75483157409493,0.725078339988217
V4LT_011,audio/V4LT_011.wav,7,2,2,3,2,,2,2,3,2,phase_vocoder,Phase Vocoder,Phase Vocoder,Phase Vocoder,False,none,none,0.0931566184357736,0.2737870380916871,1879.5643447933624,0.7174411428050776,0.7029623030646432,0.75483157409493,0.725078339988217
